Name_of_Member,Constituency,Party
Shri  Badruddin  Ajmal                                             ,Dhubri,AUDF
Smt.  Ranee  Narah                                             ,Lakhimpur,INC
Shri  Biren Singh  Engti                                             ,Autonomous District,INC
Shri  Bijoy Krishna  Handique                                          ,Jorhat,INC
Shri  Paban Singh  Ghatowar                                          ,Dibrugarh,INC
Shri  Ismail Hussain  ,Barpeta,INC
Shri  Ramen  Deka                                              ,Mangaldoi,BJP
Shri  Lalit  Mohan  Suklabaidya                                       ,Karimganj,INC
Shri  Sansuma Khunggur  Bwiswmuthiary                                     ,Kokrajhar,BOPF
Smt.  Bijoya  Chakravarty                                       ,Gauhati,BJP
Shri  Dip  Gogoi                                             ,Kaliabor,INC
Shri  Kabindra  Purkayastha                                       ,Silchar,BJP
Shri  Joseph  Toppo                                             ,Tezpur,AGP
