Name_of_Member,Constituency,Party
Shri  Uday  Singh                                             ,Purnia,BJP
Smt.    Rama Devi                                         ,Sheohar,BJP
Shri  Sushil Kumar  Singh                                             ,Aurangabad,SHS
Shri  Sushil Kumar  Singh                                             ,Aurangabad,SHS
Shri  Uma Shanaker  Singh                                             ,Maharajganj,INC
Shri  Sharad  Yadav                                             ,Madhepura,JD(U)
Shri  Mahabali  Singh                                             ,Karakat,JD(U)
Dr.  Sanjay  Jaiswal                                           ,Paschim Champaran,BJP
Shri  Kaushalendra  Kumar                                             ,Nalanda,JD(U)
Shri  Vishwa Mohan  Kumar                                             ,Supaul,JD(U)
Shri  Jagada Nand  Singh                                             ,Buxar,RJD
Shri  Bhudeo  Choudhary                                         ,Jamui,JD(U)
Shri  Om Prakash  Yadav                                             ,Siwan,IND
Shri  Mohammad Asrarul  Haque                                             ,Kishanganj,INC
Shri  Baidyanath Prasad  Mahto                                             ,Valmiki Nagar,JD(U)
Shri  Arjun  Roy                                               ,Sitamarhi,JD(U)
