Name_of_Member,Constituency,Party
Shri  C. R.  Patil                                             ,Navsari,BJP
Shri  Dinsha  Patel                                             ,Kheda,INC
Shri  Mukeshkumar  Bheiravdanji  Gadhvi                              ,Banaskantha,INC
Dr.  Kiritbhai  Premajibhai    Solanki                            ,Ahmedabad West,BJP
Shri  Somabhai Gandalal Koli  Patel                                             ,Surendranagar,INC
Shri  Vikrambhai Arjanbhai  Maadam    Ahir                                    ,Jamnagar,INC
Shri  Harin  Pathak                                            ,Ahmedabad East,BJP
Shri   Vitthalbhai  Harnsrajbhai   Radadiya                           ,Porbandar,INC
Shri  Dinubhai  Boghabhal   Solanki                               ,Junagadh,BJP
Smt.  Darshana  Jardosh                                           ,Surat,BJP
Shri  Chauhan  Mahendrasinh                                      ,Sabarkantha,BJP
Shri  Ramsinhbhai Patalbhai  Rathwa                                            ,Chhota Udaipur,BJP
Shri  Prabhatsinh  Pratapsinh Chauhan                                ,Panchmahal,BJP
Dr.  Prabha Kishore  Taviad                                            ,Dahod,INC
Shri  Rajendrasinh  Rana                                              ,Bhavnagar,BJP
Shri  Kuvarjibhai Mohanbhai  Bavalia                                           ,Rajkot,INC
Shri    Naranbhai   Kachhadia                             ,Amreli,BJP
Shri  Jagdish  Thakor                                            ,Patan,INC
Shri  Mansukhbhai Dhanjibhai  Vasava                                            ,Bharuch,BJP
Shri  Balkrishna Khanderao  Shukla                                            ,Vadodara,BJP
Shri  Kishan V.  Patel                                             ,Valsad,INC
