Name_of_Member,Constituency,Party
Shri  Naveen  Jindal                                            ,Kurukshetra,INC
Smt.  Shruti  Choudhry                                          ,Bhiwani-Mahendragarh,INC
Shri    Bhajan Lal                                        ,Hisar,HJCBL
Shri  Inderjit Singh  Rao                                              ,Gurgaon,INC
Shri  Deepender Singh  Hooda                                             ,Rohtak,INC
Shri  Avtar Singh  Bhadana                                           ,Faridabad,INC
Kumari    Selja                                             ,Ambala,INC
Shri  Ashok  Tanwar                                            ,Sirsa,INC
Dr.  Arvind Kumar  Sharma                                            ,Karnal,INC
Shri  Jitender  Singh                                             ,Sonipat,INC
