Name_of_Member,Constituency,Party
Shri  Udasi Shivkumar  Chanabasappa                                      ,Haveri,BJP
Shri   G.M.  Siddeswara                                        ,Davanagere,BJP
Shri  B. Y.  Raghavendra                                       ,Shimoga,BJP
Shri  G.S.  Basavaraj                                         ,Tumkur,BJP
Shri  N. Cheluvaraya Swamy  ,Mandya,JD(S)
Shri  Adagooru  Vishwanath                                        ,Mysore,INC
Shri  Ramesh Chandappa  Jigajinagi                                        ,Bijapur,BJP
Shri  P.C.  Gaddigoudar                                       ,Bagalkot,BJP
Shri  H.D.  Devegowda                                         ,Hassan,JD(S)
Shri  D.V. Sadananda  Gowda                                             ,Udupi Chikmagalur,BJP
Shri    Ananth Kumar                                      ,Bangalore South,BJP
Shri  Shivarama  Gouda                                             ,Koppal,BJP
Shri  Anant Kumar  Hegde                                             ,Uttara Kannada,BJP
