Name_of_Member,Constituency,Party
Dr.  Shashi  Tharoor                                           ,Thiruvananthapuram,INC
Shri  M. I.  Shanavas                                          ,Wayanad,INC
Shri  P.  Karunakaran                                       ,Kasaragod,CPM
Prof.  K.V.  Thomas                                            ,Ernakulam,INC
Shri  P.C.  Chacko                                            ,Thrissur,INC
Shri  Jose K.  Mani                                              ,Kottayam,KEC(M)
Adv.  A.  Sampath                                           ,Attingal,CPM
Shri  K.  Sudhakaran                                        ,Kannur,INC
Shri  Mullappally  Ramachandran                                      ,Vadakara,INC
Shri  K. C.  Venugopal                                         ,Alappuzha,INC
Shri  K. P.  Dhanapalan                                        ,Chalakudy,INC
Adv.  P. T.  Thomas                                            ,Idukki,INC
Shri  N.  Peethambarakurup                                  ,Kollam,INC
Shri  M. K.  Raghavan                                          ,Kozhikode,INC
Shri    Kodikunnil  Suresh                                ,Mavelikkara,INC
Shri  Anto  Antony                                            ,Pathanamthitta,INC
Shri  P. K.  Biju                                              ,Alathur,CPM
