Name_of_Member,Constituency,Party
Shri  Jyotiraditya Madhavrao  Scindia                                           ,Guna,INC
Smt.  Sushma  Swaraj                                            ,Vidisha,BJP
Shri  Premchand  Guddu                                             ,Ujjain,INC
Shri  Arun  Yadav                                             ,Khandwa,INC
Shri  Uday Pratap  Singh                                             ,Hoshangabad,INC
Shri  Sajjan Singh  Verma                                             ,Dewas,INC
Shri  Deoraj Singh  Patel                                             ,Rewa,BSP
Shri  Gajendra Singh  Rajukhedi                                         ,Dhar,INC
Smt.  Rajesh Nandini  Singh                                             ,Shahdol,INC
Smt.  Sumitra  Mahajan                                           ,Indore,BJP
Shri  Ashok  Argal                                             ,Bhind,BJP
Smt.  Jyoti  Dhurve                                            ,Betul,BJP
Shri  Jeetendra Singh  Bundela                                           ,Khajuraho,BJP
Shri  Rakesh  Singh                                             ,Jabalpur,BJP
Shri  Kailash  Joshi                                             ,Bhopal,BJP
Shri  Shivraj  Bhaiya                                            ,Damoh,BJP
Shri  Makhansingh  Solanki                                           ,Khargone,BJP
Shri  Govind Prasad  Mishra                                            ,Sidhi,BJP
Shri  Ganesh  Singh                                             ,Satna,BJP
Shri  Narendra Singh  Tomar                                             ,Morena,BJP
Shri  Basori Singh  Masram                                            ,Mandla,INC
Shri  Narayan Singh  Amlabe                                            ,Rajgarh,INC
Shri    Virendra Kumar                                    ,Tikamgarh,BJP
Smt.  Meenakshi  Natrajan                                          ,Mandsour,INC
