Name_of_Member,Constituency,Party
Smt.  Supriya  Sule                                              ,Baramati,NCP
Shri  Sonawane  Pratap Narayanrao                                 ,Dhule,BJP
Shri   Suresh  Kashinath   Taware                                ,Bhiwandi,INC
Shri  A.T. Nana  Patil                                             ,Jalgaon,BJP
Shri  Shivaji  Adhalrao Patil                                    ,Shirur,SHS
Shri   Udayanraje  Bhonsle                                          ,Satara,NCP
Shri  Gajanan D.  Babar                                             ,Maval,SHS
Shri   Gopinathrao  Pandurang   Munde                                 ,Beed,BJP
Shri  Chandrakant  Khaire                                            ,Aurangabad,SHS
Shri  Bhaskarrao  Patil  Khatgaonkar  ,Nanded,INC
Shri  Sameer  Bhujbal                                           ,Nashik,NCP
Shri  Chandrakant  Khaire                                            ,Aurangabad,SHS
Adv.   Ganeshrao  Nagorao Dudhgaonkar                               ,Parbhani,SHS
Smt.  Bhavana  Gawali                                            ,Yavatmal-Washim,SHS
Shri  Raosaheb  Dadarao  Danve                                             ,Jalna,BJP
Dr.  Sanjeev Ganesh  Naik                                              ,Thane,NCP
Shri  Jaywant  Gangaram   Awale                                  ,Latur,INC
Shri  Pratik  Patil                                             ,Sangli,INC
Shri   Bhausaheb  Rajaram   Wakchaure                               ,Shirdi,SHS
Shri  Sadashivrao Dadoba  Mandlik                                           ,Kolhapur,IND
Shri  Dilip Kumar Mansukhlal  Gandhi                                            ,Ahmednagar,BJP
Shri  Anandrao  Adsul                                             ,Amravati,SHS
Shri  Vilasrao Baburao  Muttemwar                                         ,Nagpur,INC
Shri  Harischandra Deoram  Chavan                                            ,Dindori,BJP
Shri   Prataprao  Ganpatrao Jadhav                                  ,Buldhana,SHS
Shri  Anand Prakash  Paranjpe                                          ,Kalyan,SHS
Shri  Marotrao  Sainuji   Kowase                                  ,Gadchiroli-Chimur,INC
Shri  Anant Gangaram  Geete                                             ,Raigad,SHS
Shri  Haribhau  Jawale                                            ,Raver,BJP
Shri  Hansraj Gangaram  Ahir                                              ,Chandrapur,BJP
Shri   Baliram  Jadhav                                          ,Palghar,BVA
Shri  Subhash Bapurao  Wankhede                                          ,Hingoli,SHS
Shri   Raju Shetti  ,Hatkanangle,SWP
