Name_of_Member,Constituency,Party
Shri  Pinaki  Misra                                             ,Puri,BJD
Shri  Baijayant  Panda                                             ,Kendrapara,BJD
Shri  Bhartruhari  Mahtab                                            ,Cuttack,BJD
Shri  Nityananda  Pradhan                                           ,Aska,BJD
Shri  Kalikesh N. Singh  Deo                                               ,Bolangir,BJD
Shri  Jayaram  Pangi                                             ,Koraput,BJD
Shri  Arjun Charan  Sethi                                             ,Bhadrak,BJD
Shri  Bibhu Prasad  Tarai                                             ,Jagatsinghpur,CPI
Shri  Amarnath  Pradhan                                           ,Sambalpur,INC
Shri  Tathagata  Satpathy                                          ,Dhenkanal,BJD
Shri  Bhakta Charan  Das                                               ,Kalahandi,INC
Shri  Rudramadhab  Ray                                               ,Kandhamal,BJD
Shri  Sidhant  Mohapatra                                         ,Berhampur,BJD
Shri  Sanjay  Bhoi                                              ,Bargarh,INC
Shri  Hemanand  Biswal                                            ,Sundargarh,INC
Shri  Mohan  Jena                                              ,Jajpur,BJD
Shri  Prasanna  Kumar Patasani                                    ,Bhubaneswar,BJD
Shri  Pradeep  Majhi                                             ,Nabarangpur,INC
Shri  Yashbant N.S.  Laguri                                            ,Keonjhar,BJD
Shri  Laxman  Tudu                                              ,Mayurbhanj,BJD
