Name_of_Member,Constituency,Party
Smt.  Harsimrat Kaur  Badal                                             ,Bathinda,SAD
Smt.    Preneet Kaur                                      ,Patiala,INC
Shri  Ravneet  Singh                                             ,Anandpur Sahib,INC
Shri  Navjot Singh  Sidhu                                             ,Amritsar,BJP
Shri  Partap Singh  Bajwa                                             ,Gurdaspur,INC
Shri  Vijay Inder  Singla                                            ,Sangrur,INC
Shri  Mohinder Singh  Kaypee                                            ,Jalandhar,INC
Smt.  Santosh  Chowdhary                                         ,Hoshiarpur,INC
Shri  Manish  Tewari                                            ,Ludhiana,INC
Dr.  Rattan Singh  Ajnala                                            ,Khadoor Sahib,SAD
Smt.  Paramjit Kaur  Gulshan                                           ,Faridkot,SAD
