Name_of_Member,Constituency,Party
Shri  Ijyaraj  Singh                                             ,Kota,INC
Smt.  Chandresh  Kumari                                            ,Jodhpur,INC
Shri  Badri Ram  Jakhar                                            ,Pali,INC
Shri  Jitendra  Singh Malik                                       ,Alwar,INC
Shri  Khiladi Lal  Bairwa                                            ,Karauli-Dholpur,INC
Dr.  Jyoti  Mirdha                                            ,Nagaur,INC
Shri  Dushyant  Singh                                             ,Jhalawar-Baran,BJP
Shri  Lal Chand  Kataria                                           ,Jaipur Rural,INC
Shri  Ram Singh  Kaswan                                            ,Churu,BJP
Shri  Gopal  Singh  Shekhawat                                  ,Rajsamand,INC
Shri  Ratan  Singh                                             ,Bharatpur,INC
Shri  Mahesh  Joshi                                             ,Jaipur,INC
Dr.  Girija  Vyas                                              ,Chittorgarh,INC
Shri  Devji M.  Patel                                             ,Jalore,BJP
Shri  Raghuvir Singh  Meena                                             ,Udaipur,INC
Shri  Tarachand  Bhagora                                           ,Banswara,INC
Shri  Harish  Choudhary                                         ,Barmer,INC
Shri  Bharat Ram  Meghwal                                           ,Ganganagar,INC
Shri  Arjun Ram  Meghwal                                           ,Bikaner,BJP
