Name_of_Member,Constituency,Party
Shri  J.M.  Aaron Rashid                                      ,Theni,INC
Dr.  M.  Thambidurai                                       ,Karur,ADMK
Shri  C.  Sivasami                                          ,Tiruppur,ADMK
Shri  T.R.  Baalu                                             ,Sriperumbudur,DMK
Shri  S. R.  Jeyadurai                                         ,Thoothukkudi,DMK
Shri  S.  Semmalai                                          ,Salem,ADMK
Smt.  J. Helen Davidson  ,Kanniyakumari,DMK
Shri  C.  Rajendran                                         ,Chennai South,ADMK
Shri  M.  Krishnaswamy                                      ,Arani,INC
Shri  D.  Venugopal                                         ,Tiruvannamalai,DMK
Shri  A.  Ganeshamurthi                                     ,Erode,MDMK
Shri    Adhi Sankar                                       ,Kallakurichi,DMK
Shri  N.S.V.  Chitthan                                          ,Dindigul,INC
Shri  S. S.  Ramasubbu                                         ,Tirunelveli,INC
Shri    Abdul Rahman                                      ,Vellore,DMK
Shri  S.  Alagiri                                           ,Cuddalore,INC
Shri  M.  Anandan                                           ,Viluppuram,ADMK
Shri  P.  Viswanathan                                       ,Kancheepuram,INC
Shri  O. S.  Manian                                            ,Mayiladuthurai,ADMK
Shri  A.K.S.  Vijayan                                           ,Nagapattinam,DMK
Shri  P.  Kumar                                             ,Tiruchirappalli,ADMK
Shri  P.  Venugopal                                         ,Tiruvallur,ADMK
Shri  Thol Thirumaavalavan  ,Chidambaram,VCK
Shri  P.  Lingam                                            ,Tenkasi,CPI
