Name_of_Member,Constituency,Party
Shri  Kapil Muni  Karwariya                                         ,Phulpur,BSP
Rajkumari  Ratna  Singh                                             ,Pratapgarh,INC
Shri  Praveen Singh  Aron                                              ,Bareilly,INC
Smt.  Annu  Tandon                                            ,Unnao,INC
Smt.  Maneka  Gandhi                                            ,Aonla,BJP
Shri  Rakesh  Pandey                                            ,Ambedkar Nagar,BSP
Shri  Devendra  Nagpal                                            ,Amroha,RLD
Smt.  Jaya Prada  Nahata                                            ,Rampur,SP
Shri  Bhisma  Shankar Alias Kushal Tiwari                       ,Sant Kabir Nagar,BSP
Dr.  Sanjay  Singh                                             ,Sultanpur,INC
Shri  Kadir  Rana                                              ,Muzaffarnagar,BSP
Shri  Ajit  Singh                                             ,Baghpat,RLD
Shri  Vijay Bahadur  Singh                                             ,Hamirpur,BJP
Smt.  Raj Kumari  Chauhan                                           ,Aligarh,BSP
Dr.  Murli Manohar  Joshi                                             ,Varanasi,BJP
Shri    Varun  Gandhi                                            ,Pilibhit,BJP
Shri  Sanjay Singh  Chauhan                                           ,Bijnor,RLD
Shri  Vijay Bahadur  Singh                                             ,Hamirpur,BSP
Shri  Brij Bhushan Sharan  Singh                                             ,Kaiserganj,SP
Shri  Rahul  Gandhi                                            ,Amethi,INC
Shri  R.K. Singh  Patel                                             ,Banda,SP
Shri  Bal Kumar  Patel                                             ,Mirzapur,SP
Shri  Jagdish Singh  Rana                                              ,Saharanpur,BSP
Shri  Vijay Bahadur  Singh                                             ,Hamirpur,BJP
Shri  Akhilesh  Yadav                                             ,Kannauj,SP
Shri  Rakesh  Sachan                                            ,Fatehpur,SP
Shri  Beni Prasad  Verma                                             ,Gonda,INC
Smt.  Seema  Upadhyay                                          ,Fatehpur Sikri,BSP
Shri  Neeraj  Shekhar                                           ,Ballia,SP
Smt.  Sushila  Saroj                                             ,Mohanlalganj,SP
"Dr.  Vinay Kumar  Panday ""Vinnu""                                    ",Shrawasti,INC
Shri  Jayant  Chaudhary                                         ,Mathura,RLD
Shri  Mohammed  Azharuddin                                        ,Moradabad,INC
Shri  Vijay Bahadur  Singh                                             ,Hamirpur,BSP
Shri  Ramakant  Yadav                                             ,Azamgarh,BJP
Shri  P.L.  Punia                                             ,Barabanki,INC
Shri  Lalji  Tandon                                            ,Lucknow,BJP
Kunwar  Rewati Raman  Singh                                             ,Allahabad,SP
Shri  Gorakh Prasad  Jaiswal                                           ,Deoria,BSP
  Smt. Tabassum  Hasan  ,Kairana,BSP
Shri  Harsh  Vardhan                                           ,Maharajganj,INC
Shri  Arvind Kumar  Chaudhary                                         ,Basti,BSP
Shri  Rajnath  Singh                                             ,Ghaziabad,BJP
Shri    Mithlesh Kumar                                    ,Shahjahanpur,SP
Smt.  Usha  Verma                                             ,Hardoi,SP
Dr.    Bali Ram                                          ,Lalganj,BSP
Shri  Tufani  Saroj                                             ,Machhlishahr,SP
Dr.  Shafiqur Rahman  Barq                                              ,Sambhal,BSP
Smt.  Kaisar  Jahan                                             ,Sitapur,BSP
Dr.  Nirmal  Khatri                                            ,Faizabad,INC
Shri  Ghanshyam  Anuragi                                           ,Jalaun,SP
Shri  Dharmendra  Yadav                                             ,Badaun,SP
Shri  Raja Ram  Pal                                               ,Akbarpur,INC
Shri  Zafar Ali  Naqvi                                             ,Kheri,INC
Shri  Ramashankar  Rajbhar                                           ,Salempur,BSP
Shri    Ramkishun                                         ,Chandauli,SP
Shri  Dhananjay  Singh                                             ,Jaunpur,BSP
Shri  Rajendra  Agarwal                                           ,Meerut,BJP
Shri  Yogi  Adityanath                                        ,Gorakhpur,BJP
Prof.(Dr.)  Ram Shankar  Katheria                                          ,Agra,BJP
Shri  Pakauri  Lal                                               ,Robertsganj,SP
Shri  Kamal  Kishor   Commando                                 ,Bahraich,INC
Shri  Premdas  Katheria                                          ,Etawah,SP
Shri  Kamlesh  Balmiki                                           ,Bulandshahr,SP
Smt.  Sarika  D.S. Baghel                                       ,Hathras,RLD
Shri  Yashvir  Singh                                             ,Nagina,SP
