Name_of_Member,Constituency,Party
Shri  Jaswant  Singh                                             ,Darjeeling,BJP
Shri  Dinesh  Trivedi                                           ,Barrackpur,AITC
Shri  Kalyan  Banerjee                                          ,Sreerampur,AITC
Shri  Adhir Ranjan  Chowdhury                                         ,Baharampur,INC
Smt.  Satabdi  Roy                                               ,Birbhum,AITC
Shri  Somendranath  Mitra                                             ,Diamond Harbour,AITC
Smt.  Deepa  Dasmunsi                                          ,Raiganj,INC
Dr.  Ratna  De (Nag)                                          ,Hooghly,AITC
Dr.  Kakoli Ghosh  Dastidar                                          ,Barasat,AITC
Shri  Tapas  Paul                                              ,Krishnanagar,AITC
Dr.  Anup Kumar  Saha                                              ,Bardhaman Purba,CPM
Shri  A.H.   Khan  Choudhury                                         ,Maldaha Dakshin,INC
Dr.  Sucharu Ranjan  Haldar                                            ,Ranaghat,AITC
  Choudhury Mohan  Jatua                                             ,Mathurapur,AITC
Shri    Suvendu   Adhikari                                ,Tamluk,AITC
Shri  Pulin Bihari  Baske                                             ,Jhargram,CPM
Shri  Gurudas  Das Gupta                                         ,Ghatal,CPI
Shri  Mahendra Kumar  Roy                                               ,Jalpaiguri,CPM
Shri  Basudeb  Acharia                                           ,Bankura,CPM
Shri  Sudip  Bandyopadhyay                                     ,Kolkata Uttar,AITC
Prof.  Saugata  Ray                                               ,Dum Dum,AITC
Shri  Kabir  Suman                                             ,Jadavpur,AITC
Shri  Narahari  Mahato                                            ,Purulia,AIFB
Shri  Prabodh  Panda                                             ,Medinipur,CPI
Shri  Manohar  Tirkey                                            ,Alipurduars,RSP
Sk.   Saidul  Haque                                             ,Bardhaman-Durgapur,CPM
Shri  Abdul Mannan  Hossain                                           ,Murshidabad,INC
Ms.  Mausam  Noor                                              ,Maldaha Uttar,INC
Shri  Gobinda Chandra  Naskar                                            ,Bangaon,AITC
Shri  Prasanta Kumar  Majumdar                                          ,Balurghat,RSP
Shri  Bansagopal  Chowdhury                                         ,Asansol,CPM
Smt.  Susmita  Bauri                                             ,Bishnupur,CPM
Shri  S.K. Nurul  Islam                                             ,Basirhat,AITC
Dr.  Ram Chandra  Dome                                              ,Bolpur,CPM
