Sno,Candidate,Constituency ∇,Party,Criminal Case,Education,Total Assets,Liabilities
379,KAMESHWAR BAITHA,Palamau,JMM,46,10th Pass,"Rs 5,70,000  ~ 5 Lacs+",Rs 0  ~
113,AHIR HANSARAJ GANGARAM,Chandrapur,BJP,30,10th Pass,"Rs 80,84,050  ~ 80 Lacs+","Rs 2,62,243  ~ 2 Lacs+"
41,CHANDRAKANT KHAIRE,Aurangabad,SHS,16,12th Pass,"Rs 1,41,51,539  ~ 1 Crore+","Rs 14,72,122  ~ 14 Lacs+"
378,M B Rajesh,Palakkad,CPM,16,Post Graduate,"Rs 11,05,474  ~ 11 Lacs+","Rs 5,04,893  ~ 5 Lacs+"
397,VITTHALBHAI HANSRAJBHAI RADADIYA,Porbandar,INC,16,Graduate,"Rs 2,06,75,722  ~ 2 Crore+",Rs 0  ~
322,N Chaluvarayaswamy,Mandya,JD(S),15,12th Pass,"Rs 5,41,68,804  ~ 5 Crore+","Rs 41,25,000  ~ 41 Lacs+"
438,BHONSLE SHRIMANT CHH. UDYANRAJE PRATAPSINH,Satara,NCP,14,Others,"Rs 11,72,53,344  ~ 11 Crore+","Rs 18,00,000  ~ 18 Lacs+"
144,Tathagata Satpathy,Dhenkanal,BJD,13,12th Pass,"Rs 55,15,930  ~ 55 Lacs+",Rs 0  ~
262,P.Karunakaran,Kasaragod,CPM,12,Post Graduate,"Rs 1,78,23,645  ~ 1 Crore+",Rs 0  ~
44,RAMAKANT YADAV,Azamgarh,BJP,11,10th Pass,"Rs 2,44,94,000  ~ 2 Crore+",Rs 0  ~
106,JADHAV PRATAPRAO GANPATRAO,Buldhana,SHS,10,Graduate,"Rs 1,20,52,820  ~ 1 Crore+","Rs 45,41,550  ~ 45 Lacs+"
110,RAMKISHUN,Chandauli,SP,10,Graduate Professional,"Rs 46,72,785  ~ 46 Lacs+",Rs 0  ~
333,BAL KUMAR PATEL,Mirzapur,SP,10,12th Pass,"Rs 2,29,78,000  ~ 2 Crore+","Rs 1,16,95,272  ~ 1 Crore+"
5,GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP,9,10th Pass,"Rs 1,30,53,391  ~ 1 Crore+","Rs 9,55,351  ~ 9 Lacs+"
165,RAKESH SACHAN,Fatehpur,SP,7,Post Graduate,"Rs 4,09,55,595  ~ 4 Crore+",Rs 0  ~
326,BABAR GAJANAN DHARMSHI,Maval,SHS,7,Literate,"Rs 6,78,31,434  ~ 6 Crore+",Rs 0  ~
376,PATIL PADAMSINHA BAJIRAO,Osmanabad,NCP,7,Graduate Professional,"Rs 7,58,52,364  ~ 7 Crore+",Rs 0  ~
23,DEVENDRA NAGPAL,Amroha,RLD,6,Graduate,"Rs 13,24,25,712  ~ 13 Crore+","Rs 1,39,60,788  ~ 1 Crore+"
266,Yashbanta Narayan Singh Laguri,Keonjhar,BJD,6,Graduate,"Rs 5,75,000  ~ 5 Lacs+","Rs 1,50,00,000  ~ 1 Crore+"
365,CHANDRAKANT RAGHUNATH PATIL,Navsari,BJP,6,10th Pass,"Rs 24,20,83,697  ~ 24 Crore+","Rs 4,22,08,512  ~ 4 Crore+"
