Sno,Candidate,Constituency,Party,Total Expenses in election
1,DR. RAMSHANKAR,Agra,BJP,"Rs 10,68,822 ~ 10 Lacs+"
2,HARIN PATHAK,Ahmedabad East,BJP,"Rs 13,42,744 ~ 13 Lacs+"
3,KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,"Rs 14,53,464 ~ 14 Lacs+"
4,GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP,"Rs 12,07,490 ~ 12 Lacs+"
5,SACHIN PILOT,Ajmer,INC,"Rs 14,47,744 ~ 14 Lacs+"
6,RAJARAM PAL,Akbarpur,INC,"Rs 15,05,179 ~ 15 Lacs+"
7,K C Venugopal,Alappuzha,INC,"Rs 14,98,732 ~ 14 Lacs+"
8,P K Biju,Alathur,CPM,"Rs 9,48,886 ~ 9 Lacs+"
9,RAJ KUMARI CHAUHAN,Aligarh,BSP,"Rs 10,17,745 ~ 10 Lacs+"
10,Manohar Tirkey,Alipurduars,RSP,"Rs 12,44,623 ~ 12 Lacs+"
11,KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,Allahabad,SP,"Rs 14,81,601 ~ 14 Lacs+"
12,PRADEEP TAMTA,Almora,INC,"Rs 19,41,954 ~ 19 Lacs+"
13,JITENDRA SINGH,Alwar,INC,"Rs 17,99,858 ~ 17 Lacs+"
14,SELJA,Ambala,INC,"Rs 17,24,028 ~ 17 Lacs+"
15,RAKESH PANDEY,Ambedkar Nagar,BSP,"Rs 12,98,878 ~ 12 Lacs+"
16,RAHUL GANDHI,Amethi,INC,"Rs 11,08,872 ~ 11 Lacs+"
17,ADSUL ANANDRAO VITHOBA,Amravati,SHS,"Rs 18,05,782 ~ 18 Lacs+"
18,NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,"Rs 14,84,684 ~ 14 Lacs+"
19,NAVJOT SINGH SIDHU,Amritsar,BJP,"Rs 17,03,665 ~ 17 Lacs+"
20,DEVENDRA NAGPAL,Amroha,RLD,"Rs 10,91,688 ~ 10 Lacs+"
21,BHARATBHAI MADHAVSINH SOLANKI,Anand,INC,"Rs 14,99,541 ~ 14 Lacs+"
22,RAVNEET SINGH,Anandpur Sahib,INC,"Rs 1,75,024 ~ 1 Lacs+"
23,MIRZA MEHBOOB BEG,Anantnag,JKN,"Rs 24,46,102 ~ 24 Lacs+"
24,MANEKA GANDHI,Aonla,BJP,"Rs 10,83,303 ~ 10 Lacs+"
25,JAGATHRAKSHAKAN,Arakkonam,DMK,"Rs 10,02,688 ~ 10 Lacs+"
26,SAKTI MOHAN MALIK,Arambag,CPM,"Rs 6,16,350 ~ 6 Lacs+"
27,KRISHNASAMY M,Arani,INC,"Rs 17,41,985 ~ 17 Lacs+"
