Sno,Name (Party),Total Assets in Lok Sabha 2009,Total Assets in Lok Sabha 2004,Asset Increase,% Increase in Asset,Remarks
1,NAVEEN JINDAL (INC),"1,31,07,30,000 131 Crore+","12,12,95,000 12 Crore+","1,18,94,35,000 118 Crore+",981%,
2,BALASHOWRY VALLABHANENI (INC),"1,21,94,28,113 121 Crore+","10,32,38,914 10 Crore+","1,11,61,89,199 111 Crore+",1081%,
3,MONI KUMAR SUBBA (INC),"57,87,58,296 57 Crore+","18,64,43,565 18 Crore+","39,23,14,731 39 Crore+",210%,Age Difference=-3
4,UDAY SINGH ALIAS PAPPU SINGH (BJP),"41,91,30,669 41 Crore+","3,06,54,143 3 Crore+","38,84,76,526 38 Crore+",1267%,Age Difference=13 PAN was missing last time
5,M Rajamohan Reddy (INC),"36,34,62,696 36 Crore+","6,39,61,169 6 Crore+","29,95,01,527 29 Crore+",468%,Age Difference=0
6,VINOD KHANNA (BJP),"35,17,55,273 35 Crore+","8,10,81,889 8 Crore+","27,06,73,384 27 Crore+",334%,PAN is Different
7,Renuka Chowdhury (INC),"38,15,27,458 38 Crore+","13,69,12,161 13 Crore+","24,46,15,297 24 Crore+",179%,
8,HARISH NAGPAL (IND),"26,12,50,266 26 Crore+","6,72,34,623 6 Crore+","19,40,15,643 19 Crore+",289%,Age Difference=7
9,Angadi Suresh Channabasappa (BJP),"22,17,34,263 22 Crore+","4,74,66,695 4 Crore+","17,42,67,568 17 Crore+",367%,Age Difference=7 PAN is missing this time
10,D. PURANDARESHWARI (INC),"20,26,39,034 20 Crore+","4,09,07,640 4 Crore+","16,17,31,394 16 Crore+",395%,PAN is Different
11,KAPIL SIBAL (INC),"31,97,22,459 31 Crore+","15,88,50,000 15 Crore+","16,08,72,459 16 Crore+",101%,
12,DESHMUKH SUBHASH SURESHCHANDRA (BJP),"17,70,11,757 17 Crore+","3,74,95,282 3 Crore+","13,95,16,475 13 Crore+",372%,PAN is Different
13,RANA GURJEET SINGH (INC),"34,09,27,000 34 Crore+","20,58,28,008 20 Crore+","13,50,98,992 13 Crore+",66%,
14,PRABHU.R (INC),"22,16,97,347 22 Crore+","10,24,40,054 10 Crore+","11,92,57,293 11 Crore+",116%,PAN is Different
15,JYOTIRADITYA MADHAVRAO SCINDIA (INC),"14,90,94,212 14 Crore+","3,58,27,904 3 Crore+","11,32,66,308 11 Crore+",316%,
16,MANEKA GANDHI (BJP),"17,56,85,977 17 Crore+","6,67,63,700 6 Crore+","10,89,22,277 10 Crore+",163%,
17,SAMBASIVA RAO RAYAPATI (INC),"14,71,43,582 14 Crore+","4,81,98,297 4 Crore+","9,89,45,285 9 Crore+",205%,PAN is Different
18,AARON RASHID.J.M (INC),"24,89,74,573 24 Crore+","15,20,98,686 15 Crore+","9,68,75,887 9 Crore+",64%,PAN is Different
19,KUNWAR DEVENDRA SINGH YADAV (BSP),"20,87,59,178 20 Crore+","11,78,88,469 11 Crore+","9,08,70,709 9 Crore+",77%,PAN is Different Party in last election was SP
20,Siddeswara.G.M (BJP),"14,02,48,867 14 Crore+","5,02,82,989 5 Crore+","8,99,65,878 8 Crore+",179%,
21,Sontosh Mohan Dev (INC),"10,11,08,377 10 Crore+","1,23,56,601 1 Crore+","8,87,51,776 8 Crore+",718%,
22,KALMADI SURESH (INC),"12,81,65,624 12 Crore+","3,99,47,625 3 Crore+","8,82,17,999 8 Crore+",221%,
23,CHIDAMBARAM P (INC),"26,79,08,542 26 Crore+","17,98,61,587 17 Crore+","8,80,46,955 8 Crore+",49%,
24,RAJ BABBAR (INC),"10,95,63,378 10 Crore+","2,23,26,400 2 Crore+","8,72,36,978 8 Crore+",391%,Party in last election was SP
25,Ramakrishna Badiga (INC),"22,50,47,000 22 Crore+","13,85,45,000 13 Crore+","8,65,02,000 8 Crore+",62%,
26,NAVJOT SINGH SIDHU (BJP),"14,50,37,236 14 Crore+","6,42,11,374 6 Crore+","8,08,25,862 8 Crore+",126%,PAN is Different
27,ADHALRAO SHIVAJI DATTATRAY (SHS),"12,71,13,134 12 Crore+","5,22,30,281 5 Crore+","7,48,82,853 7 Crore+",143%,
28,MEIRA KUMAR (INC),"10,15,65,500 10 Crore+","2,89,56,730 2 Crore+","7,26,08,770 7 Crore+",251%,
29,DELKAR MOHANBHAI SANJIBHAI (INC),"9,47,75,558 9 Crore+","2,86,19,160 2 Crore+","6,61,56,398 6 Crore+",231%,Party in last election was BNP
30,GEORGE FERNANDES (IND),"9,54,39,798 9 Crore+","3,39,87,410 3 Crore+","6,14,52,388 6 Crore+",181%,Party in last election was JD(U)
31,DAHYABHAI VALLABHBHAI PATEL (INC),"11,59,61,703 11 Crore+","5,47,87,351 5 Crore+","6,11,74,352 6 Crore+",112%,
32,DUSHYANT SINGH (BJP),"6,41,10,900 6 Crore+","70,82,067 70 Lacs+","5,70,28,833 5 Crore+",805%,
33,MANI SHANKAR AIYAR (INC),"7,20,14,689 7 Crore+","1,93,91,699 1 Crore+","5,26,22,990 5 Crore+",271%,
34,THANGKABALU K V (INC),"10,87,15,814 10 Crore+","5,61,85,835 5 Crore+","5,25,29,979 5 Crore+",93%,
35,Bikram keshari Deo (BJP),"5,27,92,000 5 Crore+","32,37,000 32 Lacs+","4,95,55,000 4 Crore+",1531%,PAN is Different
36,BAALU T R (DMK),"7,69,71,478 7 Crore+","2,74,44,755 2 Crore+","4,95,26,723 4 Crore+",180%,
37,VENUGOPAL.D (DMK),"5,70,10,000 5 Crore+","76,85,000 76 Lacs+","4,93,25,000 4 Crore+",642%,
38,JAYA PRADA NAHATA (SP),"13,14,90,118 13 Crore+","8,42,75,000 8 Crore+","4,72,15,118 4 Crore+",56%,Age Difference=3 PAN is Different
39,K.H.Muniyappa (INC),"5,19,21,402 5 Crore+","61,87,039 61 Lacs+","4,57,34,363 4 Crore+",739%,PAN is missing this time
40,AJIT SINGH (RLD),"5,82,32,462 5 Crore+","1,34,23,683 1 Crore+","4,48,08,779 4 Crore+",334%,PAN is Different
41,Sudini Jaipal Reddy (INC),"5,61,50,333 5 Crore+","1,22,64,007 1 Crore+","4,38,86,326 4 Crore+",358%,
42,PAWAR SHARADCHANDRA GOVINDRAO (NCP),"8,72,38,434 8 Crore+","4,48,14,206 4 Crore+","4,24,24,228 4 Crore+",95%,PAN is Different
43,Vinod Kumar Boinapally (TRS),"5,07,76,910 5 Crore+","1,00,11,716 1 Crore+","4,07,65,194 4 Crore+",407%,PAN is Different
44,AFZAL ANSARI (BSP),"4,58,44,836 4 Crore+","50,85,464 50 Lacs+","4,07,59,372 4 Crore+",801%,Party in last election was SP
45,KUNWAR AKSHAYA PRATAP SINGH (SP),"4,21,18,096 4 Crore+","21,69,847 21 Lacs+","3,99,48,249 3 Crore+",1841%,Age Difference=3 PAN was missing last time
46,SELJA (INC),"4,67,11,386 4 Crore+","71,76,087 71 Lacs+","3,95,35,299 3 Crore+",551%,
47,KOTLA JAYA SURYA PRAKASH REDDY (INC),"5,37,19,195 5 Crore+","1,59,41,801 1 Crore+","3,77,77,394 3 Crore+",237%,
48,ANURADHA CHAUDHARY (RLD),"7,98,70,000 7 Crore+","4,39,04,200 4 Crore+","3,59,65,800 3 Crore+",82%,
49,LAKSHMAN SINGH (BJP),"8,48,12,156 8 Crore+","4,90,14,404 4 Crore+","3,57,97,752 3 Crore+",73%,PAN is Different
50,Bhartruhari Mahtab (BJD),"5,07,93,831 5 Crore+","1,78,43,407 1 Crore+","3,29,50,424 3 Crore+",185%,
51,KAILASH NATH SINGH YADAV (BSP),"3,69,04,540 3 Crore+","58,43,089 58 Lacs+","3,10,61,451 3 Crore+",532%,
52,AVTAR SINGH BHADANA (INC),"4,05,73,585 4 Crore+","97,63,648 97 Lacs+","3,08,09,937 3 Crore+",316%,PAN was missing last time
53,AD.KAMAT GURUDAS VASANT (INC),"6,39,26,963 6 Crore+","3,38,94,725 3 Crore+","3,00,32,238 3 Crore+",89%,
54,AKHILESH PD. SINGH (RJD),"3,34,64,000 3 Crore+","36,69,358 36 Lacs+","2,97,94,642 2 Crore+",812%,Age Difference=-1 PAN is missing this time
55,PANKAJ CHAUDHARY (BJP),"4,37,54,559 4 Crore+","1,41,74,401 1 Crore+","2,95,80,158 2 Crore+",209%,Age Difference=-1
56,S.P.Y.REDDY (INC),"9,28,21,000 9 Crore+","6,46,46,900 6 Crore+","2,81,74,100 2 Crore+",44%,PAN is Different
57,V. Kishore Chandra Deo (INC),"24,74,10,000 24 Crore+","22,06,78,000 22 Crore+","2,67,32,000 2 Crore+",12%,
58,RASHEED MASOOD (SP),"5,27,23,138 5 Crore+","2,61,75,490 2 Crore+","2,65,47,648 2 Crore+",101%,PAN was missing last time
59,AKHILESH YADAV (SP),"4,85,82,202 4 Crore+","2,31,42,705 2 Crore+","2,54,39,497 2 Crore+",110%,
60,ELANGOVAN.E.V.K.S. (INC),"2,90,67,279 2 Crore+","50,31,000 50 Lacs+","2,40,36,279 2 Crore+",478%,
61,LALU PRASAD (RJD),"3,20,94,746 3 Crore+","87,68,340 87 Lacs+","2,33,26,406 2 Crore+",266%,
62,SHYAMA CHARAN GUPTA (SP),"13,56,00,000 13 Crore+","11,24,56,867 11 Crore+","2,31,43,133 2 Crore+",21%,"page_missing for movable asset in Lok Sabha 2009,"
63,LALKRISHNA KISHANCHAND ADVANI (BJP),"3,55,43,172 3 Crore+","1,30,42,443 1 Crore+","2,25,00,729 2 Crore+",173%,PAN is Different
64,JIVABHAI AMBALAL PATEL (INC),"5,70,97,000 5 Crore+","3,46,02,412 3 Crore+","2,24,94,588 2 Crore+",65%,Age Difference=0
65,MANE NIVEDITA SAMBHAJIRAO (NCP),"3,01,70,798 3 Crore+","79,13,845 79 Lacs+","2,22,56,953 2 Crore+",281%,Age Difference=7
66,Dr. Manda Jagannath (INC),"2,81,26,000 2 Crore+","65,45,314 65 Lacs+","2,15,80,686 2 Crore+",330%,Party in last election was TDP
67,PAWAN KUMAR BANSAL (INC),"3,87,29,400 3 Crore+","1,75,50,052 1 Crore+","2,11,79,348 2 Crore+",121%,
68,K.C. SINGH BABA (INC),"4,39,87,049 4 Crore+","2,37,08,052 2 Crore+","2,02,78,997 2 Crore+",86%,Age Difference=2 PAN was missing last time
69,BIREN SINGH ENGTI (INC),"2,52,97,068 2 Crore+","53,89,194 53 Lacs+","1,99,07,874 1 Crore+",369%,Age Difference=7 PAN was missing last time
70,SANGEETA KUMARI SINGDEO (BJP),"4,56,88,804 4 Crore+","2,68,99,686 2 Crore+","1,87,89,118 1 Crore+",70%,
71,H.T.Sangliana (INC),"2,54,66,411 2 Crore+","76,66,050 76 Lacs+","1,78,00,361 1 Crore+",232%,PAN is Different Party in last election was BJP
72,RAHUL GANDHI (INC),"2,32,74,706 2 Crore+","55,38,123 55 Lacs+","1,77,36,583 1 Crore+",320%,
73,BRIJBHUSHAN SARAN SINGH (SP),"5,35,37,885 5 Crore+","3,58,10,577 3 Crore+","1,77,27,308 1 Crore+",50%,Party in last election was BJP
74,M.H.Ambareesh (INC),"2,47,85,720 2 Crore+","73,94,819 73 Lacs+","1,73,90,901 1 Crore+",235%,PAN is Different
75,DINSHA ZAVARBHAI PATEL (INC),"2,30,65,019 2 Crore+","57,27,475 57 Lacs+","1,73,37,544 1 Crore+",303%,
76,C.H.VIJAYA SHANKAR (BJP),"1,74,93,189 1 Crore+","2,63,999 2 Lacs+","1,72,29,190 1 Crore+",6526%,PAN was missing last time
77,SUKHDEV SINGH DHINDSA (SAD),"3,11,00,235 3 Crore+","1,39,84,341 1 Crore+","1,71,15,894 1 Crore+",122%,
78,KANTILAL BHURIA (INC),"3,05,57,089 3 Crore+","1,40,41,825 1 Crore+","1,65,15,264 1 Crore+",118%,PAN is Different
79,ANJAN KUMAR YADAV (INC),"2,06,20,697 2 Crore+","42,50,700 42 Lacs+","1,63,69,997 1 Crore+",385%,Age Difference=8 PAN was missing last time
80,VIJENDER PAL SINGH (BJP),"4,00,58,102 4 Crore+","2,37,65,671 2 Crore+","1,62,92,431 1 Crore+",69%,
81,M.SHIVANNA(KOTE) (JD(S)),"1,71,54,377 1 Crore+","9,42,100 9 Lacs+","1,62,12,277 1 Crore+",1721%,Age Difference=-1 PAN was missing last time
82,BENI PRASAD VERMA (INC),"2,01,83,574 2 Crore+","41,12,560 41 Lacs+","1,60,71,014 1 Crore+",391%,Party in last election was SP
83,Kunnur Manjunath Channappa (INC),"2,85,58,354 2 Crore+","1,28,62,400 1 Crore+","1,56,95,954 1 Crore+",122%,PAN is Different Party in last election was BJP
84,KUNWAR JITIN PRASAD (INC),"3,26,56,975 3 Crore+","1,71,13,691 1 Crore+","1,55,43,284 1 Crore+",91%,PAN is Different
85,SUBODH KANT SAHAY (INC),"2,71,79,918 2 Crore+","1,22,91,253 1 Crore+","1,48,88,665 1 Crore+",121%,
86,KIRSHNA TIRATH (INC),"2,11,46,350 2 Crore+","64,15,254 64 Lacs+","1,47,31,096 1 Crore+",230%,
87,DANVE RAOSAHEB DADARAO (BJP),"2,42,71,518 2 Crore+","96,81,004 96 Lacs+","1,45,90,514 1 Crore+",151%,Age Difference=7 PAN was missing last time
88,ATHAWALE RAMDAS BANDU (RPI),"1,71,79,813 1 Crore+","26,56,172 26 Lacs+","1,45,23,641 1 Crore+",547%,Age Difference=9 PAN was missing last time Party in last election was RPI(A)
