,Sno_x,Candidate_x,Constituency,Party_x,Total Expenses in election,S.No.,Division/Seat No.,Name of Member,Lok Sabha,Session,State,Total Sittings,No. of days member signed the register,Sno_y,Candidate_y,Party_y,Criminal Case,Education,Total Assets,Liabilities
0,1,DR. RAMSHANKAR,Agra,BJP,"Rs 10,68,822 ~ 10 Lacs+",381,437,Prof.(Dr.)  Ram Shankar  Katheria                                          ,15,2,Uttar Pradesh                                               ,26,17,2,DR. RAMSHANKAR,BJP,0,Doctorate,"Rs 15,11,000  ~ 15 Lacs+","Rs 6,39,959  ~ 6 Lacs+"
1,2,HARIN PATHAK,Ahmedabad East,BJP,"Rs 13,42,744 ~ 13 Lacs+",412,471,Shri  Harin  Pathak                                            ,15,2,Gujarat                                                     ,26,24,3,HARIN PATHAK,BJP,2,Post Graduate,"Rs 1,45,78,184  ~ 1 Crore+","Rs 22,734  ~ 22 Thou+"
2,3,KIRITBHAI PREMJIBHAI SOLANKI,Ahmedabad West,BJP,"Rs 14,53,464 ~ 14 Lacs+",479,538,Dr.  Kiritbhai  Premajibhai    Solanki                            ,15,2,Gujarat                                                     ,26,24,4,KIRITBHAI PREMJIBHAI SOLANKI,BJP,0,Graduate Professional,"Rs 2,61,22,439  ~ 2 Crore+","Rs 7,09,488  ~ 7 Lacs+"
3,4,GANDHI DILIPKUMAR MANSUKHLAL,Ahmednagar,BJP,"Rs 12,07,490 ~ 12 Lacs+",425,483,Shri  Dilip Kumar Mansukhlal  Gandhi                                            ,15,2,Maharashtra                                                 ,26,15,5,GANDHI DILIPKUMAR MANSUKHLAL,BJP,9,10th Pass,"Rs 1,30,53,391  ~ 1 Crore+","Rs 9,55,351  ~ 9 Lacs+"
4,6,RAJARAM PAL,Akbarpur,INC,"Rs 15,05,179 ~ 15 Lacs+",188,238,Shri  Raja Ram  Pal                                               ,15,2,Uttar Pradesh                                               ,26,23,7,RAJARAM PAL,INC,0,Graduate Professional,"Rs 44,00,000  ~ 44 Lacs+","Rs 8,38,099  ~ 8 Lacs+"
5,7,K C Venugopal,Alappuzha,INC,"Rs 14,98,732 ~ 14 Lacs+",21,57,Shri  K. C.  Venugopal                                         ,15,2,Kerala                                                      ,26,0,9,K C Venugopal,INC,0,Post Graduate,"Rs 35,33,704  ~ 35 Lacs+","Rs 2,03,374  ~ 2 Lacs+"
6,8,P K Biju,Alathur,CPM,"Rs 9,48,886 ~ 9 Lacs+",293,347,Shri  P. K.  Biju                                              ,15,2,Kerala                                                      ,26,24,10,P K Biju,CPM,0,Post Graduate,"Rs 4,61,000  ~ 4 Lacs+",Rs 0  ~
7,9,RAJ KUMARI CHAUHAN,Aligarh,BSP,"Rs 10,17,745 ~ 10 Lacs+",259,312,Smt.  Raj Kumari  Chauhan                                           ,15,2,Uttar Pradesh                                               ,26,23,11,RAJ KUMARI CHAUHAN,BSP,0,12th Pass,"Rs 3,40,34,506  ~ 3 Crore+",Rs 0  ~
8,10,Manohar Tirkey,Alipurduars,RSP,"Rs 12,44,623 ~ 12 Lacs+",263,316,Shri  Manohar  Tirkey                                            ,15,2,West Bengal                                                 ,26,19,12,Manohar Tirkey,RSP,0,10th Pass,"Rs 23,58,725  ~ 23 Lacs+",Rs 0  ~
9,11,KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,Allahabad,SP,"Rs 14,81,601 ~ 14 Lacs+",225,278,Kunwar  Rewati Raman  Singh                                             ,15,2,Uttar Pradesh                                               ,26,25,13,KUNWAR REWATI RAMAN SINGH ALIAS MANI JI,SP,0,Graduate Professional,"Rs 1,86,40,164  ~ 1 Crore+","Rs 2,26,475  ~ 2 Lacs+"
10,12,PRADEEP TAMTA,Almora,INC,"Rs 19,41,954 ~ 19 Lacs+",176,226,Shri  Pradeep  Tamta                                             ,15,2,Uttarakhand                                                 ,26,26,14,PRADEEP TAMTA,INC,0,Post Graduate,"Rs 15,90,000  ~ 15 Lacs+",Rs 0  ~
11,13,JITENDRA SINGH,Alwar,INC,"Rs 17,99,858 ~ 17 Lacs+",170,220,Shri  Jitendra  Singh Malik                                       ,15,2,Rajasthan                                                   ,26,19,15,JITENDRA SINGH,INC,0,Graduate,"Rs 6,79,67,810  ~ 6 Crore+",Rs 0  ~
