,Constituency,Party,Total_Expenses,Name_of_Member,State,Attendance_days,Criminal_Cases,Education,Total_Assets,Liabilities,ratio_ex_as,attendance
221,Lakshadweep,INC,202226,Shri  Hamdullah  Sayeed                                            ,Lakshadweep                                                 ,26,0,Graduate Professional,20977767,0,0.009640016,1
365,Vidisha,BJP,892957,Smt.  Sushma  Swaraj                                            ,Madhya Pradesh                                              ,26,0,Graduate Professional,73582637,58250,0.012135431,1
94,Cuttack,BJD,1252710,Shri  Bhartruhari  Mahtab                                            ,Orissa                                                      ,26,0,Post Graduate,50793831,0,0.024662641,1
248,Mizoram,INC,240816,Shri  C. L.  Ruala                                             ,Mizoram                                                     ,26,0,Graduate Professional,5354186,0,0.044977145,1
92,Churu,BJP,1780366,Shri  Ram Singh  Kaswan                                            ,Rajasthan                                                   ,26,0,Graduate Professional,27403097,0,0.064969518,1
219,Ladakh,IND,397550,Shri  Hassan  Khan                                              ,Jammu and Kashmir                                           ,26,0,Graduate,6065000,0,0.065548228,1
325,South Delhi,INC,1863464,Shri  Ramesh  Kumar                                             ,Delhi                                                       ,26,0,10th Pass,25845997,329812,0.072098747,1
47,Barabanki,INC,1065784,Shri  P.L.  Punia                                             ,Uttar Pradesh                                               ,26,0,Doctorate,14047833,995370,0.075868214,1
32,Autonomous District,INC,2047950,Shri  Biren Singh  Engti                                             ,Assam                                                       ,26,0,Post Graduate,25297068,0,0.080956022,1
342,Thrissur,INC,1660856,Shri  P.C.  Chacko                                            ,Kerala                                                      ,26,0,Post Graduate,16335679,0,0.10167046,1
309,Shahdol,INC,1195195,Smt.  Rajesh Nandini  Singh                                             ,Madhya Pradesh                                              ,26,0,Graduate,11475000,200000,0.104156427,1
59,Basti,BSP,2090905,Shri  Arvind Kumar  Chaudhary                                         ,Uttar Pradesh                                               ,26,0,12th Pass,18643936,0,0.112149334,1
200,Khajuraho,BJP,1339298,Shri  Jeetendra Singh  Bundela                                           ,Madhya Pradesh                                              ,26,0,Post Graduate,10596506,0,0.126390529,1
