,Constituency,Party,Total_Expenses,Name_of_Member,State,Attendance_days,Criminal_Cases,Education,Total_Assets,Liabilities,ratio_ex_as,attendance
31,Warangal,INC,1714478,Shri  Rajaiah  Siricilla                                         ,Andhra Pradesh                                              ,26,0,1,4224704,1461167,0.405822041,1
85,Nizamabad,INC,1376003,Shri  Madhu Goud  Yaskhi                                            ,Andhra Pradesh                                              ,24,0,2,119108338,15422084,0.011552533,0.923076923
251,Chittoor,TDP,1696235,Shri  Naramalli  Sivaprasad                                        ,Andhra Pradesh                                              ,18,0,2,6011000,0,0.282188488,0.692307692
260,Guntur,INC,1241084,Shri   Rayapati S.  Rao                                               ,Andhra Pradesh                                              ,18,3,1,147143582,45204329,0.00843451,0.692307692
296,Narasaraopet,TDP,1521093,Shri  Modugula Venugopala  Reddy                                             ,Andhra Pradesh                                              ,15,2,2,27493309,51964,0.055325934,0.576923077
351,Mahabubabad,INC,1258657,Shri  P.  Balram  Naik                                      ,Andhra Pradesh                                              ,0,0,1,17195194,14122000,0.073198185,0
163,Arunachal West,INC,909291,Shri  Takam  Sanjoy                                            ,Arunachal Pradesh                                           ,22,0,1,24137021,0,0.037672047,0.846153846
340,Arunachal East,INC,889725,Shri  Ninong  Ering                                             ,Arunachal Pradesh                                           ,0,0,1,104320000,1251784,0.008528806,0
8,Autonomous District,INC,2047950,Shri  Biren Singh  Engti                                             ,Assam                                                       ,26,0,2,25297068,0,0.080956022,1
63,Barpeta,INC,1970626,Shri  Ismail Hussain  ,Assam                                                       ,25,0,2,9931726,0,0.198417274,0.961538462
102,Karimganj,INC,1205529,Shri  Lalit  Mohan  Suklabaidya                                       ,Assam                                                       ,24,0,2,4644049,0,0.259585762,0.923076923
143,Kokrajhar,BOPF,2244048,Shri  Sansuma Khunggur  Bwiswmuthiary                                     ,Assam                                                       ,23,0,1,4954903,464860,0.452894436,0.884615385
181,Kaliabor,INC,2208612,Shri  Dip  Gogoi                                             ,Assam                                                       ,22,0,1,2539058,0,0.869854883,0.846153846
243,Dhubri,AUDF,1488604,Shri  Badruddin  Ajmal                                             ,Assam                                                       ,18,0,0,303520991,0,0.004904452,0.692307692
282,Gauhati,BJP,1603292,Smt.  Bijoya  Chakravarty                                       ,Assam                                                       ,16,0,2,1870000,0,0.857375401,0.615384615
290,Mangaldoi,BJP,1827650,Shri  Ramen  Deka                                              ,Assam                                                       ,15,0,1,7579967,0,0.241115825,0.576923077
303,Silchar,BJP,1931725,Shri  Kabindra  Purkayastha                                       ,Assam                                                       ,14,0,2,2098543,81279,0.920507705,0.538461538
317,Tezpur,AGP,1897448,Shri  Joseph  Toppo                                             ,Assam                                                       ,12,0,1,936292,535000,2.026555818,0.461538462
353,Jorhat,INC,1396081,Shri  Bijoy Krishna  Handique                                          ,Assam                                                       ,0,0,2,15428123,0,0.090489362,0
355,Dibrugarh,INC,1555334,Shri  Paban Singh  Ghatowar                                          ,Assam                                                       ,0,0,1,9797014,0,0.158755923,0
362,Lakhimpur,INC,1578937,Smt.  Ranee  Narah                                             ,Assam                                                       ,0,1,1,53976290,0,0.029252418,0
22,Nalanda,JD(U),1956675,Shri  Kaushalendra  Kumar                                             ,Bihar                                                       ,26,0,1,7133058,227065,0.274310822,1
71,Jamui,JD(U),1795831,Shri  Bhudeo  Choudhary                                         ,Bihar                                                       ,25,0,2,4079000,289192,0.440262564,0.961538462
80,Maharajganj,INC,1045822,Shri  Uma Shanaker  Singh                                             ,Bihar                                                       ,25,2,1,10145601,450000,0.103081326,0.961538462
